compassSystemfullSystemErrorCrossCorrelation,compassFilterfullSystemErrorCrossCorrelation,fullSystemfullSystemErrorCrossCorrelation,gyroFilterfullSystemErrorCrossCorrelation,gyroSystemfullSystemErrorCrossCorrelation,fullSystemErrorAutoCorrelation
0.583724682601834,0.844261339165054,0.611426525495647,-0.232834813674084,0.249562403345148,0.0130761811447623
0.600272660788115,0.864211616380739,0.628157497154981,-0.23605411922108,0.261440440864785,0.0133772678569325
0.617106911433179,0.884487006474436,0.64502189806912,-0.239465108404017,0.2734169545625,0.0136530174891699
0.634255221558435,0.905096715359832,0.661849067887358,-0.243247647464224,0.285238487535805,0.0139958595087332
0.651852393882499,0.926161441887546,0.679346548615805,-0.246814893265894,0.29775827037104,0.0143112509665246
0.669835752657881,0.947638895194229,0.697459940981519,-0.250178954197379,0.31087684791003,0.0146054291297852
0.688133742015842,0.969468626002448,0.715509171761888,-0.253959454256801,0.323875718305187,0.0148992516767196
0.706785886384231,0.991676395041785,0.734218483740863,-0.25745791129488,0.337504454501738,0.0151744210981113
0.72579405522265,1.01426826525962,0.753470152267255,-0.260798112991584,0.35156510739554,0.0154922401562934
0.745246744226149,1.03732205023074,0.773100435153797,-0.264221615086756,0.365912311236441,0.0158665863422617
0.765283035548886,1.06095083984837,0.793522266849842,-0.267428572999571,0.381060938835227,0.0162636531219635
0.785875977210318,1.08513021392823,0.814452716163942,-0.270677497770911,0.396693351923854,0.01669578518574
0.806772260793618,1.10963739366603,0.83504906098824,-0.274588332668957,0.41192181002199,0.0170928605835538
0.828160500513539,1.13463029671818,0.856750952634944,-0.277879344071022,0.428261658906454,0.0174699196821686
0.849896497049485,1.15999419214911,0.879149408385274,-0.280844783765133,0.445241034446683,0.0178266608240847
0.872076926324683,1.18579866083331,0.901532738425885,-0.284265922413916,0.462135492923803,0.0182186183691816
0.894707103931328,1.21204956093321,0.924843968399468,-0.287205592521267,0.479884867412953,0.0186467335862679
0.917779092385899,1.23871839136076,0.948571552150367,-0.290146839213516,0.497996040324714,0.0190989147052473
0.941367487722476,1.26586466432907,0.971934380606399,-0.293930283711364,0.515725810583847,0.0195599300337303
0.965523756215199,1.2935310409105,0.996073932688367,-0.297457108214206,0.534152767833023,0.0201155401212613
0.990150156470398,1.32160208372599,1.02104579046967,-0.300556293250338,0.55331429394885,0.0207407993501809
1.01518473095244,1.35003397900229,1.04618467911496,-0.303849299884307,0.572648507979466,0.0213023097776386
1.04061950905348,1.3788289480851,1.07141625095807,-0.307412697122865,0.592007901862546,0.0218679960580305
1.06642046249596,1.40795354759653,1.09730944653191,-0.310644101063839,0.612001206526267,0.0223888280658165
1.09264936344074,1.43745739685047,1.12322913695035,-0.314228259892583,0.632003235208686,0.0228838599164841
1.119191991527,1.46725260347219,1.14957866387808,-0.317673939590869,0.652369530813303,0.0233502594710444
1.14602194613794,1.49732315096065,1.1760891685096,-0.321233982449355,0.672847196062711,0.0237576731790666
1.17315342433618,1.52767493616973,1.20271210316319,-0.324962832996399,0.693387887818972,0.0241203075836113
1.20060849053594,1.55833764924526,1.22921657779495,-0.329121071439139,0.71383408978623,0.024389427913515
1.22848783382714,1.5894060321568,1.25672121521036,-0.332684816929161,0.735284487126462,0.0246277495654275
1.25668582310651,1.62077502744173,1.28487626224108,-0.335898765189995,0.757377792210069,0.0248161471156761
1.28521868788396,1.65247571775191,1.313190907084,-0.339284810660177,0.779623956105622,0.0249509276343036
1.31413403679991,1.68454908721989,1.34205033781473,-0.342498749389766,0.80234216007271,0.0251276337538522
1.34344626727813,1.71701562738703,1.37146082113239,-0.345554806253793,0.825657225085057,0.0252289290578379
1.37311331903038,1.74984650387861,1.40092939482253,-0.348917109057896,0.84904726654973,0.0252810558543258
1.40321154086684,1.78311882862597,1.4306646077956,-0.35245422082234,0.872695503157697,0.025327521537942
1.43371232647873,1.81681668184839,1.4609835680832,-0.355833113781988,0.896915264631389,0.025361702072457
1.46474001305718,1.85105022115541,1.49206169626892,-0.358988524888056,0.921909629176038,0.0254143198282171
1.49619028496714,1.88573710166176,1.52351278433343,-0.36222431732436,0.94737216478513,0.0253536465788784
1.52792165189957,1.92077025952001,1.55532002569817,-0.365450233826128,0.973201788346549,0.0251929116428593
1.55998546833455,1.95618657894998,1.58797191060148,-0.368214668329659,0.999848252097893,0.0250004652643838
1.59241583518035,1.99202390981372,1.62064681410473,-0.371377095703987,1.02647937903488,0.0247963245905599
1.6253324734862,2.02837668546168,1.6543548560772,-0.37402182938162,1.05403571530769,0.0246942092074148
1.65879791086107,2.06528940656738,1.68845562274302,-0.376833783818256,1.08194869430112,0.024642117260685
1.69265360486627,2.10261495520743,1.72227985684003,-0.380335098360125,1.10950821750781,0.0246190567080963
1.72692522643566,2.14035809024894,1.75688115275989,-0.383476937477618,1.13774806083321,0.0246370493891196
1.76161120411416,2.17852250298061,1.79130545227547,-0.387217050688248,1.1658388266764,0.0245757258414544
1.79685443400688,2.21722400901906,1.82691382131556,-0.390310187702848,1.19508919113183,0.0245620850458051
1.83259895093631,2.2564070554841,1.86292478564636,-0.393482269830851,1.22478215139875,0.0245118214438012
1.86877324014495,2.2960245553612,1.89871262246327,-0.39731193289182,1.25427040833581,0.0244079774428038
1.90524726751443,2.33596524263599,1.93503051031231,-0.400934732329038,1.28422993092681,0.0242675723775392
1.9420780980893,2.37628852423846,1.97177677399512,-0.404511750240675,1.31462299268294,0.0240651549553539
1.97939520922747,2.41709490127063,2.0088140186729,-0.40828088260566,1.34529530587523,0.0238758600980873
2.01707892207196,2.45828441285578,2.04604843154915,-0.412235981305717,1.3761362327454,0.023666907912814
2.05509479600421,2.49985559393203,2.08407550211164,-0.415780091832468,1.40778426482159,0.0233753326770544
2.09339767219041,2.54175747926846,2.12150867192291,-0.420248807346979,1.43884303082762,0.0229935767518197
2.13204578296739,2.58405460746976,2.15951437419114,-0.424540233274586,1.47053526987604,0.0225219767435842
2.17098906444569,2.62672968856558,2.19774403272147,-0.428985655845281,1.50241945469835,0.0220110897429809
2.21043892304338,2.66995533093411,2.23677738864873,-0.433177942288109,1.53519457654745,0.0214689760281804
2.2502122054866,2.71359173216375,2.27642381820728,-0.437167913948217,1.56862001760081,0.0208517186118635
2.29025285858162,2.75759490920713,2.31570724827803,-0.441887660920673,1.60162737993025,0.0202118037749252
2.33073351654873,2.802129427549,2.35590289100739,-0.446226536539273,1.63555134692329,0.0195746643437035
2.37161328282257,2.84716288833546,2.39733955843258,-0.449823329885378,1.67072557761068,0.0189165404320063
2.41271118833018,2.89253675333124,2.43865416952342,-0.453882583808796,1.70562500694567,0.0182906218615244
2.45433225464408,2.93854081283124,2.48097440006261,-0.457566412742738,1.74156778623416,0.0176376920395082
2.49633255045046,2.98503661612631,2.52267115119944,-0.462365464925987,1.77686114528582,0.0169634842033182
2.53872278982973,3.03204973981233,2.56414886753607,-0.467900872263986,1.81194407647542,0.0162333691129918
2.58160889529557,3.0796720698085,2.60706793158066,-0.472604138215956,1.84847652318838,0.0154887436069008
